sn,院系,专业,面向对象,人数下限,人数上限,课程名称,课程性质,学分,周学时,起止周,上课时间一,上课时间二,上课时间三,上课时间四,上课时间五,任课教师,备注
322,艺术设计与创意产业系,艺术设计学,16艺设,40,47,色彩构成,专业必修课,3,6,1-9,,,"13-15
3实110","3-5
3实110",,林婷婷,研讨实践指导24学时
323,艺术设计与创意产业系,艺术设计学,16艺设,40,47,计算机辅助设计(二)-AI,专业必修课,3,4,1-15,,,,,"2-5
2实406",陈笑峰,研讨实践指导24学时
324,艺术设计与创意产业系,艺术设计学,16艺设,40,47,设计色彩,专业任选课,4,4,1-18,,"2-5
1实105",,,,王波,研讨实践指导32学时
325,艺术设计与创意产业系,艺术设计学,16艺设,40,47,办公软件,专业任选课,3,3,1-18,,"13-15
3实301",,,,张程,研讨实践指导24学时
326,艺术设计与创意产业系,艺术设计学,16艺设,40,47,色彩构成,专业必修课,3,6,1-9,,,"3-5
3实110","8-10
3实110",,林婷婷,研讨实践指导24学时
327,艺术设计与创意产业系,艺术设计学,16艺设,40,47,计算机辅助设计(二)-AI,专业必修课,3,4,1-15,,,,,"8-11
2实406",陈笑峰,研讨实践指导24学时
328,艺术设计与创意产业系,艺术设计学,16艺设,40,47,设计色彩,专业任选课,4,4,1-18,"12-15
1实105",,,,,王波,研讨实践指导32学时
329,艺术设计与创意产业系,数字媒体艺术,16数媒,40,44,摄影与摄像,专业必修课,3,6,10-18,,,"3-5
4-404","8-10
4-404",,夏丽娜,研讨实践指导24学时
330,艺术设计与创意产业系,数字媒体艺术,16数媒,40,44,设计色彩,专业任选课,3,3,1-18,,"13-15
1实105",,,,王波,研讨实践指导24学时
331,艺术设计与创意产业系,数字媒体艺术,16数媒,40,44,摄影与摄像,专业必修课,3,6,10-18,,,,"3-5
4-404","8-10
4-404",夏丽娜,研讨实践指导24学时
332,艺术设计与创意产业系,数字媒体艺术,16数媒,40,44,设计色彩,专业任选课,3,3,1-18,"3-5
1实105",,,,,王波,研讨实践指导24学时
333,艺术设计与创意产业系,数字媒体艺术,16数媒,84,84,剧本创作,专业必修课,2,4,10-18,,,,,"2-5
4-203",张骞,研讨实践指导16学时
334,艺术设计与创意产业系,数字媒体艺术,16数媒,84,84,设计心理学,专业必修课,2,2,1-18,,"10-11
4-303",,,,夏丽娜,研讨实践指导16学时
335,艺术设计与创意产业系,公共艺术,16公艺,38,40,Sketchup造型设计,专业任选课,3,3,1-18,,,"13-15
2实406",,,欧阳逸斐,研讨实践指导24学时
336,艺术设计与创意产业系,公共艺术,16公艺,38,40,办公软件,专业任选课,3,3,1-18,"13-15
3实301",,,,,待定,研讨实践指导24学时
337,艺术设计与创意产业系,公共艺术,16公艺,38,40,立体构成,专业必修课,3,3,1-18,"3-5
3实110",,,,,林右正,研讨实践指导24学时
338,艺术设计与创意产业系,公共艺术,16公艺,38,40,设计导引,专业必修课,3,3,1-18,,,"1-3
3-304",,,孙月,研讨实践指导24学时
339,艺术设计与创意产业系,公共艺术,16公艺,38,40,Sketchup造型设计,专业任选课,3,3,1-18,,,,"8-10
2实306",,欧阳逸斐,研讨实践指导24学时
340,艺术设计与创意产业系,公共艺术,16公艺,38,40,办公软件,专业任选课,3,3,1-18,,,,,"3-5
3实301",待定,研讨实践指导24学时
341,艺术设计与创意产业系,公共艺术,16公艺,38,40,立体构成,专业必修课,3,3,1-18,,"13-15
3实110",,,,林右正,研讨实践指导24学时
342,艺术设计与创意产业系,公共艺术,16公艺,38,40,设计导引 ,专业必修课,3,3,1-18,,"8-10
4-403",,,,孙月,研讨实践指导24学时
